,OBJECTID,NAMEENG,NAMEAR,CF_PHONE,CF_EMAIL,CF_FAX,CF_POBOX,FACILITYTYPE,FACILITYSUBTYPE,CLASS,HR24,OPENINGHR,CATEGORY,GRADE,SELFREPORTEDSCORECARD,CONCERNSAREA,CONFISCATIONDESTRUCTION,longitude,latitude
225,226,TOP CARE PHARMACY- BRANCH 1,صيدلية قمة العناية - فرع 1,02-6665131,topcarem@emirates.net.ae,2-6665132,40490,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.49029451400003,24.34048054499999
226,227,IBN SINA PHARMACY L.L.C. - BRANCH 7,صيدلية ابن سينا ذ.م.م - فرع 7,02-5868724,bsp.biniyas@akigroup.com,2-5868591,4236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.620925,24.312680999999998
227,228,IDEAL PHARMACY L.L.C,صيدلية ايديل ذ. م.م,(971)-2-5511786,idealpharmacy@hotmail.com,(971)-2-5510583,47121,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.51172700000001,24.347470999999985
228,229,INPATIENT PHARMACY/CAMBRIDGE MEDICAL AND REHABILITATION CENTRE LLC,الصيدلية الداخلية لمركز كامبريدج للطب وإعادة التأهيل ذ م م,03-7027500,daoud@cmrc.ae,3-7027501,222279,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,55.680972,24.23047600000001
229,230,Madinat Mohamed Bin Zayed Healthcare Center Pharmacy,صيدلية مركز مدينة محمد بن زايد الصحي.,02-8113811,ahs@seha.ae,2-8113811,111355,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,54.55746666700003,24.332859999999982
230,231,MAFRAQ HOSPITAL PHARMACY - IN-PATIENT,صيدلية مستشفى المفرق,02-5011111,lhuntley@mafraqhospital.ae,2-5011111,2951,Pharmacy,Inpatient Pharmacy,Public,Yes,,,,,,,54.613161090000006,24.329317090000018
231,232,ADVANCE CURE PHARMACY L.L.C,صيدلية أدفانس كيور ذ م م,2-4100911,ahamoutta@cure.ae,2-4100914,61887,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.34922028,24.459247590000018
232,233,ADVANCED AL AIN PHARMACY L L C,صيدلية العين المتطورة ذ م م,03-7227626,m.nazzal@alain-pharmacy.com,3-7227627,1667,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.775833130000024,24.217233659999977
233,234,AL AHLIA CENTRAL PHARMACY,الصـيدلية الاهليـة المركزيـة,02-6269545,ahliamed@emirates.net.ae,2-6269545,2419,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.359861369999976,24.487859730000025
234,235,AL AHLIA PHARMACY,الصـيدلية الاهليـة,02-4486276,ahliya1@hotmail.com,2-4487553,3032,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.40180587999998,24.44697474999998
235,236,AL AIN AL AHALIA PHARMACY,صيدليه العين الاهليه,3-7559990,ahliamed@emirates.net.ae,3-7555997,83339,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.75679398,24.225338939999972
236,237,AL BASMA PHARMACY,صيدلية البسمة,02-5831515,basma-ph@hotmail.com,2-5831515,93934,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.663793999999996,24.287060999999994
237,238,AL BAYAN PHARMACY,صـيدلية  البيــان,3-7515566,albayanpharmacy@yahoo.com,3-7516679,15435,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.76541328000002,24.221057889999997
238,239,AL BUSTAN PHARMACY,صيدلية  البستان,02-5560123,info.albustanphy@gmail.com,2-5560023,108879,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.601978299999985,24.40671157999998
239,240,AL GHADEER PHARMACY - LLC,صـيدلية  الغدير - ذ م م,(971)-2-4463453,alghader@emirates.net.ae,(971)-2-4463453,75032,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.38080215000002,24.465148929999998
240,241,AL HAKEEM LAND PHARMACY,صيدلية أرض الحكيم,2-6669665,alhakeem_07@yahoo.com,2-6669650,34913,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.34684752999999,24.469314580000002
241,242,AL HILI PHARMACY,صـيدلية الهيــــلي,03-7622600,hilipharmacy@gmail.com,3-7622600,14937,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.76751899999999,24.263357159999998
242,243,AL JAHILY PHARMACY,صيدلية الجاهلي,03-7619455,pharmacyalain@gmail.com,3-7619455,84002,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.75625609999997,24.212882999999977
243,244,AL KHALEEJ PHARMACY - LLC,صـيدلية الخـليج - ذ م م,(971)-3-7644842,khaleej84@gmail.com,(971)-3-7519842,15464,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.77504348999997,24.218451500000015
244,245,AL MANARA AL BAHIA PHARMACY,صيدلية المنارة-الباهية,02-5630020,aneermen@hotmail.com,2-5635059,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.671402,24.524482999999975
245,246,AL MANARA PHARMACY,صـيدلية المنـارة,02-6664332,safia@sinamed.ae,2-6664326,3084,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.360877990000006,24.491258619999996
246,247,AL MANARA PHARMACY - AL AIN BRANCH,صيدلية المنارة - فرع,03-7519443,safia@sinamed.ae,3-7516670,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.78213310000001,24.22244453000002
247,248,AL MANARA PHARMACY -BRANCH 3,صيدلية المنارة - فرع 3,02-4416011,afrah@delta-uae.com,2-4416010,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.523236,24.33259700000002
248,249,AL MARINA PHARMACY LLC - BRANCH 1,صيدلية المارينا ذ م م - فرع 1,02-6339722,mariamed@emirates.net.ae,2-6339724,37790,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.501525000000015,24.354071999999974
249,250,LAN CASTER PHARMACY - BRANCH 2,صيدلية لانكستر - فرع 2,03-7804499,yassir@bowling-city.com,3-7612244,80079,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.65105399999999,24.14737100000002
250,251,LLH PHARMACY LLC,صيدلية ال ال اتش ذ م م,(971)-2-2222366,saad.lifeline@vpshealth.com,(971)-2-2222363,94666,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.364911000000006,24.487897999999973
251,252,MEDICINA PHARMACY -BRANCH 7,صيدلية ميديسينا فرع 7,02-3042020,amro.abbas@pharmalink.ae,2-6261608,41412,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.491341999999975,24.39862099999999
252,253,NATIONAL REHABILITATION CENTRE PHARMACY,صيدلية المركز الوطني للتأهيل,(971)-2-3060000,info@nrc.com,(971)-2-3060111,55001,Pharmacy,Inpatient Pharmacy,Public,Yes,,,,,,,54.59854999999999,24.43686100000002
253,254,AL TAIF PHARMACY,صيــدلية الطـــائف,02-5527057,aboirfan_13@hotmail.com,2-5523388,133790,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.53091620999999,24.326349259999972
254,255,AL RAJAA PHARMACY,صــيدلية الرجــــاء,(971)-3-7217626,nero.yoyo2004@hotmail.com,(971)-3-7215133,83581,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.762943269999994,24.189656259999992
255,256,AL TAKAMUL PHARMACY,صيدلية التكامل,2-6770910,barouda@yahoo.com,2-6770910,110615,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.53211974999999,24.337499620000017
256,257,AL RIDA PHARMACY,صـيدلية الرضـا,02-6766125,redhapharmacy@ahaliagroup.ae,2-6766125,2419,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37484549999999,24.483760829999994
257,258,AL THURAYYA PHARMACY,صـيدلية الثريــا,02-6427827,althuraya2008@gmail.com,2-6427828,46333,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37847137,24.48011398
258,259,AL SALAMAT PHARMACY,صـيدلية  الســلامات,03-7835737,albayanpharmacy@yahoo.com,3-7835838,15435,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.58923340000001,24.20895575999998
259,260,AL TAHANI PHARMACY L.L.C,صيدلية التهانى ذ.م.م,(971)-2-6343438,admin@tahamedical.com,(971)-2-6336414,26751,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37130546999998,24.480646130000025
260,261,AL WAHDA PHARMACY,صـيدلية الوحدة,2-5630383,alwahdapharmacybahiya@gmail.co,2-5630215,2839,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.66138458,24.515010829999994
261,262,ALMANARA PHARMACY BOUTIK MALL,صيدلية المنارة بوتيك مول,(971)-3-7229679,BoutikMall@manarapharma.ae,(971)-3-7644117,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.40772800000002,24.49571500000002
262,263,ALMANARA PHARMACY- AL BAWADI MALL,صيدلية المنارة - البوادي مول,02-6814644,deltamed@delta-uae.com,2-6814645,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.807518000000016,24.160433000000012
263,264,ALSAROOJ PHARMACY,صيدلية الصاروج,3-7518332,francis_uae@hotmail.com,3-7646323,16731,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.775695799999994,24.217445370000007
264,265,BAB AL MADINA PHARMACY,صيدلية باب المدينة,02-5545648,babalmadinaph@yahoo.com,2-5545620,25537,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.52058099999999,24.350531999999987
265,266,BEHAVIORAL SCIENCES PAVILION  PHARMACY,صيدلية جناح العلوم السلوكية,02-8190000,ryoussif@skmc.ae,2-6104662,51900,Pharmacy,Inpatient Pharmacy,Public,Yes,,,,,,,54.365392680000014,24.473012919999974
266,267,BOOTS AL RAHA  PHARMACY,صيدلية بووتس الراحة,02-5577650,kayed.elsaadi@alshaya.com,4-4534083,1277,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.56655884000003,24.43249321000002
267,268,BOOTS AL SHAMKHA MALL PHARMACY,صيدلية بووتس الشامخة مول,02-4926702,KAYED.ELSAADI@ALSHAYA.COM,4-4534083,1277,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.722661000000016,24.387126000000023
268,269,BOOTS YAS MALL PHARMACY,صيدلية بووتس ياس مول,02-4926597,kayed.elsaadi@alshaya.com,4-4534083,1277,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.61007999999998,24.489146000000005
269,270,BURJEEL PHARMACY AL SHAMKHA LLC,صيدلية برجيل الشامخة ذ.م.م,(971)-2-2222366,saad.lifeline@vpshealth.com,(971)-2-2222366,94666,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.722661000000016,24.387126000000023
270,271,BURJEEL PHARMACY L.L.C - BRANCH 7,صيدلية برجيل ذ.م.م - فرع 7,02-2222366,saad.lifeline@vpshealth.com,2-2222363,73048,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37298012000002,24.470548629999996
271,272,CITY PHARMACY COMPANY - W L L - BRANCH 1,شركة صيدلية المدينة -ذ م م - فرع 1,(971)-2-6323016,cityphrm@emirates.net.ae,(971)-2-6327147,2098,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.46309200000002,24.413748999999996
272,273,CLEVELAND CLINIC ABU DHABI IN-PATIENT PHARMACY,الصيدلية الداخلية كليفلاند كلينك أبوظبي,02-5019659,onaqbi@mubadala.ae,2-5019659,45005,Pharmacy,Inpatient Pharmacy,Public,Yes,,,,,,,54.38798600000001,24.49761799999999
273,274,COSMESURGE & EMIRATES CLINICS FOR ONE DAY SURGRY PHARMACY L.L.C.,صيدلية كوزمسيرج وعيادات الامارات لجراحة اليوم الواحد ذ.م.م,(971)-2-4466648,haad@emirateshospital.ae,(971)-2-6652077,30907,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.37384033000001,24.4596138
274,275,DREAM PHARMACY L L C,صــيدلية دريــم ذ م م,02-0000000,dreampharmacy@hotmail.com,2-0000000,61626,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.354492189999974,24.477247239999997
275,276,SPECIALIZED MEDICAL CARE HOSPITAL PHARMACY,صيدلية مستشفى العناية الطبية التخصصي,(971)-3-7552291,medicare@emirates.net.ae,(971)-3-7551436,59189,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,55.75775146000001,24.214690210000015
276,277,SWEIHAN PHARMACY,صـيدلية سـويحان,03-7347172,sweihan_pharmacy@yahoo.com,3-7347172,15435,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.330596920000005,24.462741849999986
277,278,TAIBAH ALAIN PHARMACY -LLC,صـيدلية طـيبة العــين ذ.م.م,(971)-3-7544088,insurance@alain-pharmacy.com,(971)-3-7545557,15325,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,55.737304689999974,24.227865220000012
278,279,UM GHAFA PHARMACY L.L.C.,صيدلية ام غافة ذ م م,(971)-3-7822656,asmaa-650@hotmail.com,(971)-3-7822656,83305,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.866397860000006,24.09164333000001
279,280,UNIQUE AL AHALIA PHARMACY - BRANCH 1,صيدلية النادر الاهلية - فرع 1,(971)-2-6352775,projects@ahaliagroup.ae,(971)-2-6336087,2419,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36155500000001,24.487075000000004
280,281,ZAYED MILITARY HOSPIAL - INPATIENT PHARMACY,صيدلية المرضى المقيمين - مستشفى زايد العسكري,02-4445000,admin@dms.mil.ae,2-4445595,3740,Pharmacy,Inpatient Pharmacy,Public,Yes,,,,,,,54.42953699999998,24.421198000000004
281,282,ZAYED MILITARY HOSPITAL - OUTPATIENT PHARMACY,صيدلية العيادات الخارجية - مستشفى زايد العسكري,02-4445000,admin@dms.mil.ae,2-4445535,3740,Pharmacy,24 Hr Pharmacy,Public,Yes,,,,,,,54.42951900000003,24.421127000000013
282,283,NEW ABU DHABI PHARMACY L.L.C,صـيدلية أبوظـبي الجـديدة ذ.م.م,2-6777625,ahliamed@emirates.net.ae,2-6760288,2419,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.3735714,24.482240680000018
283,284,NEW AL SHAM PHARMCY LLC,صيدلية الشام الجديدة ذ م م,02-6262080,newalshampharmacy@yahoo.com,2-6262480,48394,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36574553999998,24.49389076
284,285,NEW NATIONAL MEDICAL CENTRE PHARMACY,صـيدلية المركـز الطـبي الوطـني الجـديد,02-5520100,alaa.mohammad@nationalhospital.ae,2-5520101,30666,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.53211974999999,24.337499620000017
285,286,OASIS PHARMACY L.L.C,صيدلية الواحة ذ.ذ.م,03-7642333,oasisphrmcy@gmail.com,3-7642212,15101,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.77713394,24.215175629999976
286,287,SAMA AL AIN PHAMACY L L C,صيدلية سما العين ذ م م,03-7619858,info@alain-pharmacy.com,3-7619859,1667,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.743831,24.22865300000001
287,288,GRAND PHARMACY L.L.C,الصيدلية الكبرى ذ م م,02-6768666,grandphr@yahoo.com,2-6766669,44609,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.370908740000004,24.49083710000002
288,289,EXPRESS GHAYATHI PHARMACY,صيدلية اكسبرس غياثى,02-8740121,expressgayathi@gmail.com,2-8740121,77637,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,52.803878,23.915179000000023
289,290,HEALTH FIRST PHARMACY,صيدلية هيلث فيرست,02-6219720,nourramadan@planetme.ae,2-6219780,9690,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.42522300000002,24.537723000000028
290,291,HEALTH FIRST PHARMACY - BRANCH 1,صيدلية هيلث فيرست - فرع 1,04-7016033,nourramadan@planetme.ae,3-7669569,9690,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.76291275,24.221211429999983
291,292,FALAJ HAZZAA PHARMACY,صيدليه  فلج هزاع,03-7806111,sultanac@eim.ae,3-7806662,15484,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.708469390000005,24.175902370000017
292,293,FARAH PHARMACY L L C,صـيدلية فــرح ذ م م,03-7670728,gehantarek@hotmail.com,3-7630120,59267,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.73968887000001,24.24228954
293,294,HEALTH FIRST PHARMACY - BRANCH 4,صيدلية هيلث فيرست - فرع 4,02-6666427,nourramadan@planetme.ae,2-6655131,9690,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.35097694000001,24.474283220000018
294,295,HEALTH PLUS PHARMACY L L C,صيدلية هيلث بلاس  ذ . م . م,02-6655422,SMSOLEMAN@UEMS.AE,2-6655902,60991,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36129699999998,24.445367999999974
295,296,FUTURE PHARMACY BRANCH 1,صيدلية المستقبل فرع 1,02-5595112,futurepharmacybr1@gmail.com,2-5599730,52571,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.53299900000002,24.327822000000026
296,297,HKMAT AL AIN  PHARMACY - CO L L C,صيدلية حكمة العين - ذ م م,(971)-2-6411225,m.nazzal@alain-pharmacy.com,(971)-2-6411215,1667,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.764389040000026,24.222230910000007
297,298,HOPE PHARMACY LLC,صيدلية هوب ذ م م,02-5552687,hopepharmacyauh@gmail.com,2-5552415,38849,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.60068100000001,24.285207000000014
298,299,HORIZONS PHARMACY,صـيدلية الافــاق,(971)-2-6780078,horizons.pharmacy2020@gmail.com,(971)-2-6780907,44584,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37660217000001,24.50106334999998
299,300,IBN SINA PHARMACY L.L.C. - BRANCH 2,صيدلية ابن سينا ذ.م.م - فرع 2,03-7620605,bsp.jimi@akigroup.com,3-7625603,4236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.72702788999999,24.244087219999983
300,301,IBN SINA PHARMACY L.L.C. - BRANCH 6,صيدلية ابن سينا ذ.م.م - فرع 6,02-5512138,delmamallff@akigroup.com,2-5512360,4236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.52374268,24.333050730000025
301,302,INPATIENT PHARMACY - NMC PROVITA INTERNATIONAL MEDICAL CENTER L.L.C,صيدلية داخلية - مركز ان ام سي بروفيتا العالمي الطبي ذ م م,(971)-2-6121800,m.uzair@provita-me.com,(971)-2-5571031,62635,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.58705600000002,24.42557099999999
302,303,INPATIENT PHARMACY- PROVITA INTERNATIONAL MEDICAL CENTER LLC - BRANCH ALAIN,الصيدلية الداخلية لمركز بروفيتا العالمي الطبي ذ م م - فرع العين,(971)-3-7044900,m.uzair@provita-me.com,(971)-3-7044901,222076,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,55.795285999999976,24.343434000000002
303,304,ROOTS PHARMACY L.L.C,صيدلية رووتس ذ.م.م,(971)-3-7377168,myselfuae@gmail.com,(971)-3-7377168,88054,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.534969330000024,24.336488719999977
304,305,JUNAID PHARMACY L.L.C,صيدلية جنيد ذ.م.م,02-8822844,jpharmacy2005@gmail.com,2-8822845,132005,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,53.79931259,23.132724759999974
305,306,KINGS CLINICS PHARMACY - LLC,صيدلية عيادات كنجز ذ.م.م,02-5014000,adel.hamed@kchclinics.com,2-5014192,129923,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.34963099999999,24.47303900000003
306,307,KOHAT PHARMACY- BRANCH 1,صيدلية كوهات- فرع 1,02-5620488,kohatpharmacy1@yahoo.com,2-5627306,110826,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.48802599999999,24.366782999999998
307,308,LULU RAHA PHARMACY - LLC,صيدلية راحة اللولو - ذ م م,(971)-2-5562607,looloorha@gmail.com,(971)-2-5562608,128489,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.574161530000026,24.438938140000005
308,309,MADINA ZAYED AL AHLIYYA  PHARMACY,صـيدلية مدينـة زايـد الأهليـة,(971)-2-8847177,ahliamed@emirates.net.ae,(971)-2-8848855,2419,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,53.70451355,23.65337943999998
309,310,MAFRAQ HOSPITAL ONCOLOGY PHARMACY,صيدلية الأورام مستشفى المفرق,02-5011001,wpratt@mafraq-hosp.ae,2-5012363,2951,Pharmacy,Inpatient Pharmacy,Public,Yes,,,,,,,54.613161090000006,24.329317090000018
310,311,SEHA EMIRATES HOSPITAL INPATIENT PHARMACY,صيدلية مستشفى صحة الامارات الداخلية,(971)-2-4438999,pr@sehauae.com,(971)-2-4438898,42528,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.38295499999998,24.471030999999982
311,312,ABU SHARIA PHARMACY L.L.C,صيدلية أبوشريعة ذ م م,02-6670181,ahmedabusharia@hotmail.com,2-6670191,46142,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.35253716,24.467754360000015
312,313,AL AHALIA INTERNATIONAL PHARMACY,الصيدلية الاهليه انترناشونال,02-5592624,ahliya.ya@gmail.com,2-5592675,3032,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.53473853999998,24.327056879999986
313,314,AL AIN PHARMACY - (LLC) - BRANCH 3,صيدلية العين - ذات مسئولية محدودة - فرع 3,(971)-3-7515018,social@alain-pharmacy.com,(971)-3-7515019,1667,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.76349099999999,24.276847999999973
314,315,AL AIN PHARMACY - (LLC) - BRANCH 6,صيدلية العين -ذات مسئولية محدودة - فرع 6,03-7669770,social@alain-pharmacy.com,3-7669779,1667,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.640333999999996,24.21808299999998
315,316,AL AIN PHARMACY- (LLC) -BRANCH 1,صيدلية العين - ذات مسئولية محدودة- فرع 1,(971)-3-7656506,m.nazzal@alain-pharmacy.com,(971)-3-7656508,1667,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.79929199999998,24.18870099999998
316,317,AL ANQOOD PHARMACY,صيدلية العنقود,02-8845355,alanqood.pharmacy@gmail.com,2-8845354,50199,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,53.72700099999997,23.658659999999998
317,318,AL BATEEN PHARMACY,صـيدلية البطـين,02-6766610,bateenelectra@gmail.com,2-6769005,46333,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.372451780000006,24.493032459999995
318,319,AL BUSTAN SPECIALTY HOSPITAL L.L.C INPATIENT PHARMACY,مستشفى البستان التخصصي ذ.م.م - صيدلية المرضى الداخلية,02-6151535,projects@ahaliagroup.ae,2-6151518,2419,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.530805999999984,24.332570999999973
319,320,AL DAMAN PHARMACY L.L.C,صـيدلية الضمـــان  ذ.م.م,02-6349992,damangroup.pharma@gmail.com,2-6320909,126941,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36851691999999,24.489196779999986
320,321,AL DHAFRA FIELDS PHARMACY,صيدلية مرابع الظفرة,02-8845273,dhafrapharma@gmail.com,2-8843051,294437,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,53.72514725000002,23.659204480000028
321,322,AL HAYER PHARMACY EST,صيدليه الهير,(971)-3-7321388,almaqamphy@hotmail.com,(971)-3-7320471,21321,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.74608231000002,24.587690350000003
322,323,AL HENDAWY PHARMACY LLC,صيدليه الهنداوى ذ.م.م,02-6213666,hmcpharmacy@hotmail.com,2-6217383,105521,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36747600000001,24.484173999999996
323,324,AL ISTIQLAL PHARMACY,صيدلية الاستقلال,02-6446125,alistiqlalpharmacy@gmail.com,2-6446125,44584,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.38030623999998,24.489034650000008
324,325,AL MAFRAQ PHARMACY L.L.C,صيدلية المفرق ذ.م.م,02-6711440,haadsec@alsalamahospital.com,2-6711330,46266,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.64031791999997,24.29548073000001
325,326,AL MANARA GLOBAL PHARMACY,صيدلية المنارة الدولية,(971)-2-6814644,dralfahim@gmail.com,(971)-2-6814645,2553,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.371572490000005,24.519420620000005
326,327,AL MANARA PHARMACY -BRANCH 5,صيدلية المنارة - فرع 5,02-6814645,safia@sinamed.ae,2-6814644,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.443123000000014,24.419802000000004
327,328,AL MANARA PHARMACY SHAMS-BRANCH- MASDAR CITY,صيدلية المنارة شمس – فرع - مدينة مصدر,02-6814645,safia@sinamed.ae,2-6814644,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.619151999999985,24.43314700000002
328,329,AL MARFA AL AHLIA PHARMACY,صـيدلية المرفـأ الاهليـة,02-8833443,ahliamed@emirates.net.ae,2-8833443,77230,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,53.49299811999998,24.09219551000001
329,330,AL RASASI PHARMACY,صيدلية الرصاصى,03-7807060,alrasasipharmacy@gmail.com,3-7806480,14185,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.68679500000002,24.129276000000004
330,331,MEDICLINIC HOSPITALS  L.L.C - INPATIENT PHARMACY,مستشفيات ميديكلينيك ذ.م.م  - الصيدلية الداخلية,02-4066933,ykhabbaz@alnoorhospital.com,2-4066933,46713,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.36041832000001,24.49084854
331,332,LAN CASTER PHARMACY,صيدلية لانكستر,(971)-3-7611228,yassir@bowling-city.com,(971)-3-7612244,80079,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.746298000000024,24.589822000000026
332,333,MARIAM PHARMACY LLC,صيدلية مريم ذ م م,(971)-2-6421043,deepthi@emirates.net.ae,(971)-2-6418776,71469,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37116814000001,24.471225740000023
333,334,MEDICAL SERVICES ADMINISTRATION OF ABU DHABI POLICE GHQ  PHARMACY,صيدلية ادارة الخدمات الطبية بالقيادة العامة لشرطة أبوظبي,02-5128118,drjamilaaldhuhoori@gmail.com,2-5128195,253,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,54.423393250000004,24.43219565999999
334,335,MODERN DAR AL SHIFA PHARMACY L L C,صـيدلية دار الشفــاء الحــديثة  ذ م م,02-6456335,mukthar.k@asterpharmacy.com,2-6443314,4358,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.379322049999985,24.496507640000004
335,336,NATIONAL ALAIN PHARMACY - L L C,صـيدلية العــين الوطــنية - ذ م م,03-7627116,m.nazzal@alain-pharmacy.com,3-7627115,1667,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,55.76291275,24.221211429999983
336,337,AL RAI PHARMACY,صيدلية الراعى,(971)-2-6508661,araphama@gmail.com,(971)-2-6508665,109463,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.374896999999976,24.490964889999987
337,338,AL TAJ PHARMACY,صيدلية التاج,3-7829505,altajpharmacy@gmail.com,3-7829505,65120,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.71525100000002,24.113856
